apple - malum, pomum, popula
fruit - baca, bacca, popum
punishment - malum, multa
man - homo, vir
woman - femina, mulier
child - puer, infans
boy - puer, adolescens
girl - puella, virgo
father - pater, genitor
mother - mater, genetrix
brother - frater, germanus
sister - soror, germana
friend - amicus, sodalis
enemy - inimicus, hostis
king - rex, dominus
queen - regina, domina
soldier - miles, bellator
teacher - magister, doctor
student - discipulus, alumnus
book - liber, volumen
letter - littera, epistula
word - verbum, vocabulum
language - lingua, sermo
city - urbs, civitas
village - vicus, pagus
country - terra, regio
world - mundus, orbis
war - bellum, pugna
peace - pax, concordia
law - lex, ius
justice - iustitia, aequitas
crime - crimen, scelus
death - mors, letum
life - vita, anima
time - tempus, aevum
day - dies, diurnum
night - nox, noctis
sun - sol, helius
moon - luna, selene
star - stella, astrum
sky - caelum, firmamentum
earth - terra, humus
sea - mare, pelagus
river - flumen, amnis
water - aqua, unda
fire - ignis, flamma
wind - ventus, aura
stone - lapis, saxum
mountain - mons, iugum
forest - silva, nemus
tree - arbor, lignum
flower - flos, flora
grass - herba, gramen
animal - animal, bestia
dog - canis, catulus
cat - felis, cattus
horse - equus, caballus
bird - avis, volucris
fish - piscis, ichthys
food - cibus, alimentum
bread - panis, placenta
wine - vinum, merum
milk - lac, lactis
salt - sal, hal
gold - aurum, chrysos
silver - argentum, electrum
money - pecunia, nummus
market - forum, mercatus
house - domus, aedes
room - cubiculum, camera
door - porta, ianua
road - via, iter
bridge - pons, pontis
ship - navis, navigium
travel - iter, peregrinatio
work - labor, opus
rest - quies, otium
game - ludus, iocus
music - musica, harmonia
song - carmen, cantus
art - ars, artificium
science - scientia, doctrina
knowledge - cognitio, sapientia
truth - veritas, verum
lie - mendacium, falsum
love - amor, dilectio
hate - odium, inimicitia
fear - timor, metus
hope - spes, fiducia
power - potentia, vis
strength - fortitudo, robur
weakness - infirmitas, debilitas
speed - celeritas, velocitas
beauty - pulchritudo, venustas
light - lux, lumen
darkness - tenebrae, obscuritas
sound - sonus, vox
silence - silentium, taciturnitas
color - color, tinctura
shape - forma, figura
number - numerus, cifra
example - exemplum, specimen
